Country,Year,Happiness
Kosovo,2019,6.1
Argentina,2019,6.086
Romania,2019,6.07
Cyprus,2019,6.046
Ecuador,2019,6.028
Kuwait,2019,6.021
Thailand,2019,6.008
Latvia,2019,5.94
South Korea,2019,5.895
Estonia,2019,5.893
Jamaica,2019,5.89
Mauritius,2019,5.888
Japan,2019,5.886
Honduras,2019,5.86
Kazakhstan,2019,5.809
Bolivia,2019,5.779
Hungary,2019,5.758
Paraguay,2019,5.743
Northern Cyprus,2019,5.718
Peru,2019,5.697
Portugal,2019,5.693
Pakistan,2019,5.653
Russia,2019,5.648
Philippines,2019,5.631
Serbia,2019,5.603
Moldova,2019,5.529
Libya,2019,5.525
Montenegro,2019,5.523
Tajikistan,2019,5.467
Croatia,2019,5.432
Hong Kong,2019,5.43
Dominican Republic,2019,5.425
Bosnia and Herzegovina,2019,5.386
Turkey,2019,5.373
Malaysia,2019,5.339
Belarus,2019,5.323
Greece,2019,5.287
Mongolia,2019,5.285
North Macedonia,2019,5.274
Nigeria,2019,5.265
Kyrgyzstan,2019,5.261
Turkmenistan,2019,5.247
Algeria,2019,5.211
Morocco,2019,5.208
Azerbaijan,2019,5.208
Lebanon,2019,5.197
Indonesia,2019,5.192
China,2019,5.191
Vietnam,2019,5.175
Bhutan,2019,5.082
Cameroon,2019,5.044
Bulgaria,2019,5.011
Ghana,2019,4.996
Ivory Coast,2019,4.944
Nepal,2019,4.913
Jordan,2019,4.906
Benin,2019,4.883
Congo (Brazzaville),2019,4.812
Gabon,2019,4.799
Laos,2019,4.796
South Africa,2019,4.722
Albania,2019,4.719
Venezuela,2019,4.707
Cambodia,2019,4.7
Palestinian Territories,2019,4.696
Senegal,2019,4.681
Somalia,2019,4.668
Namibia,2019,4.639
Niger,2019,4.628
Burkina Faso,2019,4.587
Armenia,2019,4.559
Iran,2019,4.548
Guinea,2019,4.534
Georgia,2019,4.519
Gambia,2019,4.516
Kenya,2019,4.509
Mauritania,2019,4.49
Mozambique,2019,4.466
Tunisia,2019,4.461
Bangladesh,2019,4.456
Iraq,2019,4.437
Congo (Kinshasa),2019,4.418
Mali,2019,4.39
Sierra Leone,2019,4.374
Sri Lanka,2019,4.366
Myanmar,2019,4.36
Chad,2019,4.35
Ukraine,2019,4.332
Ethiopia,2019,4.286
Swaziland,2019,4.212
Uganda,2019,4.189
Egypt,2019,4.166
Zambia,2019,4.107
Togo,2019,4.085
India,2019,4.015
Liberia,2019,3.975
Comoros,2019,3.973
Madagascar,2019,3.933
Lesotho,2019,3.802
Burundi,2019,3.775
Zimbabwe,2019,3.663
Haiti,2019,3.597
Botswana,2019,3.488
Syria,2019,3.462
Malawi,2019,3.41
Yemen,2019,3.38
Rwanda,2019,3.334
Tanzania,2019,3.231
Afghanistan,2019,3.203
Central African Republic,2019,3.083
South Sudan,2019,2.853
Finland,2020,7.808700085
Denmark,2020,7.645599842
Switzerland,2020,7.559899807
Iceland,2020,7.504499912
Norway,2020,7.487999916
Netherlands,2020,7.448900223
Sweden,2020,7.353499889
New Zealand,2020,7.299600124
Austria,2020,7.294199944
Luxembourg,2020,7.237500191
Canada,2020,7.23210001
Australia,2020,7.222799778
United Kingdom,2020,7.164500237
Israel,2020,7.128600121
Costa Rica,2020,7.121399879
Ireland,2020,7.093699932
Germany,2020,7.075799942
United States,2020,6.939599991
Czech Republic,2020,6.910900116
Belgium,2020,6.863500118
United Arab Emirates,2020,6.790800095
Malta,2020,6.772799969
France,2020,6.663799763
Mexico,2020,6.465000153
Taiwan Province of China,2020,6.45539999
Uruguay,2020,6.440100193
Saudi Arabia,2020,6.406499863
Spain,2020,6.400899887
Guatemala,2020,6.398900032
Italy,2020,6.38740015
Singapore,2020,6.377099991
Brazil,2020,6.375599861
Slovenia,2020,6.363399982
El Salvador,2020,6.34829998
Kosovo,2020,6.325200081
Panama,2020,6.304800034
Slovakia,2020,6.280600071
Uzbekistan,2020,6.257599831
Chile,2020,6.228499889
Bahrain,2020,6.227300167
Lithuania,2020,6.215499878
